Date,Ticker,Price,Open,Previous Close,High,Low,Volume
2021-08-12 12:02:53,AAPL,148.09,146.19,145.86,148.53,145.84,3.6446606E7
2021-08-12 12:02:53,MSFT,289.02,286.63,286.95,289.74,286.34,5872932.0
2021-08-12 12:02:54,GOOGL,2735.145,2719.51,2725.58,2737.1846,2708.51,376717.0
2021-08-12 12:02:54,FB,361.17,358.45,359.96,361.8,357.11,3274242.0
2021-08-12 12:02:54,UBER,42.845,42.86,43.08,42.965,42.18,7110417.0
2021-08-12 12:02:54,SOFI,17.23,16.97,16.9,17.44,16.74,1.1631769E7
2021-08-12 12:02:54,SNAP,75.875,76.38,76.53,76.88,75.153,3969267.0
2021-08-12 12:02:55,SPOT,214.715,213.21,214.0,215.265,210.66,780454.0
2021-08-12 12:02:55,GE,105.775,106.19,106.04,107.2199,105.24,3590138.0
2021-08-12 12:02:55,ZM,361.96,358.34,358.56,364.05,355.02,976717.0
2021-08-12 12:02:55,AXP,168.115,170.02,170.67,170.1,168.05,1153741.0
2021-08-12 12:02:55,SBUX,116.045,116.41,116.5,116.78,115.51,1472064.0
2021-08-12 12:02:55,TSLA,722.27,706.34,707.82,722.6297,699.4,8474703.0
2021-08-12 12:02:56,WMT,149.325,149.0,149.46,150.21,149.0,2853943.0
2021-08-12 12:02:56,BAC,42.1206,42.23,41.95,42.28,41.775,1.9967249E7
2021-08-12 12:02:56,CMG,1876.87,1852.85,1856.46,1884.1459,1854.535,49908.0
2021-08-12 12:02:56,NFLX,510.39,511.86,512.4,513.0,507.2014,595611.0
2021-08-12 12:02:56,DIS,177.54,178.09,178.09,178.5,176.45,2811989.0
2021-08-12 12:02:57,RBLX,82.88,84.04,84.69,84.68,82.16,2033559.0
2021-08-12 12:02:57,BABA,191.04,191.17,194.86,192.98,189.685,7298691.0
2021-08-12 12:02:57,NVDA,199.38,198.7,196.99,200.284,196.21,7924126.0
2021-08-12 12:02:57,PYPL,276.1537,274.25,276.41,276.805,273.06,2023986.0
2021-08-12 12:02:57,AMD,106.72,107.39,107.68,108.44,106.3346,3.6525719E7
2021-08-12 12:02:57,TTD,85.12,82.27,82.4,85.5772,82.2501,2601005.0
2021-08-12 12:02:58,ZG,101.49,102.0,101.58,103.26,101.19,107504.0
2021-08-12 12:02:58,YELP,38.795,38.63,38.67,38.835,38.06,105911.0
2021-08-12 12:02:58,JNJ,174.28,173.82,173.8,174.47,173.59,1056534.0
2021-08-12 12:02:58,XOM,57.165,57.4,57.48,57.785,56.88,9171744.0
2021-08-12 12:02:58,TM,181.02,181.01,181.38,181.09,180.1965,46768.0
